"";"subj.id";"age_s_c";"gender";"educ_s_c";"prior.climate.pos";"prior.climate.cert";"prior.climate.imp";"prior.climate.diff";"prior.climate.act";"prior.gmo.pos";"prior.gmo.cert";"prior.gmo.imp";"prior.gmo.diff";"prior.hom.pos";"prior.hom.cert";"prior.hom.imp";"prior.hom.diff";"condition";"topic";"version";"diff";"eff";"frustr";"order";"percc";"resp";"rt";"ideology";"num_c";"crt_c";"Duration__in_seconds";"prior.conc";"ideology.conc";"condition.binary";"eff.index"
"89";57;-0,0367930956166255;0;0,0476190476190447;27;21;23;-10;17;-10;26;22;-43;-15;20;6;-16;"easy";"gmo";"s";14;11;-23;2;-22;1;47,691;6;-0,2057267351385;-0,2703081232493;1597;"conc";"disc";"0";12,5
"90";57;-0,0367930956166255;0;0,0476190476190447;27;21;23;-10;17;-10;26;22;-43;-15;20;6;-16;"easy";"hom";"ns";26;23;45;3;-23;0;36,74;6;-0,2057267351385;-0,2703081232493;1597;"disc";"neutr";"0";24,5
"91";58;0,328071769248239;1;0,0476190476190447;1;1;21;-50;20;-50;50;43;-50;50;50;32;-50;"easy";"clim";"ns";11;11;1;2;41;0;198,379;6;-0,0946156240273884;-0,2703081232493;1455;"disc";"conc";"0";11
"92";58;0,328071769248239;1;0,0476190476190447;1;1;21;-50;20;-50;50;43;-50;50;50;32;-50;"easy";"gmo";"ns";11;12;1;3;50;0;17;6;-0,0946156240273884;-0,2703081232493;1455;"disc";"conc";"0";11,5
"93";58;0,328071769248239;1;0,0476190476190447;1;1;21;-50;20;-50;50;43;-50;50;50;32;-50;"easy";"hom";"ns";12;10;1;1;42;1;41,258;6;-0,0946156240273884;-0,2703081232493;1455;"disc";"neutr";"0";11
"94";59;-0,293549852373382;0;0,0476190476190447;24;43;42;23;-40;-48;35;32;-47;32;34;35;35;"easy";"clim";"s";50;36;50;1;-39;1;81,001;6,33333333333333;0,0164954870837227;-0,2703081232493;2482;"conc";"disc";"0";43
"95";59;-0,293549852373382;0;0,0476190476190447;24;43;42;23;-40;-48;35;32;-47;32;34;35;35;"easy";"gmo";"s";50;33;50;2;-36;0;20,354;6,33333333333333;0,0164954870837227;-0,2703081232493;2482;"conc";"disc";"0";41,5
"96";59;-0,293549852373382;0;0,0476190476190447;24;43;42;23;-40;-48;35;32;-47;32;34;35;35;"easy";"hom";"ns";50;34;38;3;-36;0;37,771;6,33333333333333;0,0164954870837227;-0,2703081232493;2482;"disc";"neutr";"0";42
"97";64;0,0848285260049962;1;-0,285714285714289;50;50;21;-50;50;1;1;1;22;32;31;10;21;"hard";"clim";"ns";50;50;50;2;1;0;51,361;3;0,0164954870837227;-0,2703081232493;1823;"disc";"disc";"1";50
"98";64;0,0848285260049962;1;-0,285714285714289;50;50;21;-50;50;1;1;1;22;32;31;10;21;"hard";"gmo";"ns";50;42;50;1;1;1;36,381;3;0,0164954870837227;-0,2703081232493;1823;"disc";"disc";"1";46
"99";64;0,0848285260049962;1;-0,285714285714289;50;50;21;-50;50;1;1;1;22;32;31;10;21;"hard";"hom";"ns";50;50;50;3;1;1;30,052;3;0,0164954870837227;-0,2703081232493;1823;"disc";"neutr";"1";50
"100";65;-0,198955257778788;0;0,380952380952378;10;11;6;-10;-9;-50;50;50;21;9;-21;10;22;"hard";"clim";"s";13;11;1;2;11;1;79,355;5;-0,0946156240273884;0,0630252100840336;2773;"conc";"disc";"1";12
"101";65;-0,198955257778788;0;0,380952380952378;10;11;6;-10;-9;-50;50;50;21;9;-21;10;22;"hard";"gmo";"ns";-9;-11;-17;3;14;1;33,837;5;-0,0946156240273884;0,0630252100840336;2773;"disc";"conc";"1";-10
"102";65;-0,198955257778788;0;0,380952380952378;10;11;6;-10;-9;-50;50;50;21;9;-21;10;22;"hard";"hom";"s";21;30;11;1;-30;0;205,756;5;-0,0946156240273884;0,0630252100840336;2773;"conc";"neutr";"1";25,5
"103";66;0,0578014989779692;0;0,380952380952378;42;42;27;19;50;20;48;48;49;50;50;50;36;"hard";"clim";"s";38;46;48;3;-15;0;15,878;3;-0,0529489573607217;0,0630252100840336;636;"conc";"conc";"1";42
"104";66;0,0578014989779692;0;0,380952380952378;42;42;27;19;50;20;48;48;49;50;50;50;36;"hard";"gmo";"s";50;50;45;2;-22;0;16,2;3;-0,0529489573607217;0,0630252100840336;636;"conc";"conc";"1";50
"105";66;0,0578014989779692;0;0,380952380952378;42;42;27;19;50;20;48;48;49;50;50;50;36;"hard";"hom";"ns";49;50;50;1;-21;1;16,2;3;-0,0529489573607217;0,0630252100840336;636;"disc";"neutr";"1";49,5
