"";"subj.id";"age_s_c";"gender";"educ_s_c";"prior.climate.pos";"prior.climate.cert";"prior.climate.imp";"prior.climate.diff";"prior.climate.act_1";"prior.gmo.pos";"prior.gmo.cert";"prior.gmo.imp";"prior.gmo.diff";"prior.hom.pos";"prior.hom.cert";"prior.hom.imp";"prior.hom.diff";"condition";"topic";"version";"diff";"eff";"frustr";"order";"percc";"resp";"rt";"ideology";"num_c";"prior.conc";"ideology.conc";"condition.binary"
"422";253;0,240289069557362;1;0,374887082204156;11;50;11;-50;-11;-50;50;21;-50;-40;50;-50;-50;"easy";"gmo";"s";-50;-50;-50;3;50;0;26,555;7;0,374585968081903;"disc";"disc";"0"
"423";253;0,240289069557362;1;0,374887082204156;11;50;11;-50;-11;-50;50;21;-50;-40;50;-50;-50;"easy";"hom";"ns";-50;-50;-50;2;50;0;41,808;7;0,374585968081903;"conc";"neutr";"0"
"424";255;0,283767330426928;1;0,0415537488708225;41;42;41;-31;36;-40;34;34;30;21;22;14;-26;"hard";"clim";"s";-18;-12;-17;3;-14;1;145,891;2,66666666666667;-0,180969587473653;"disc";"conc";"1"
"425";255;0,283767330426928;1;0,0415537488708225;41;42;41;-31;36;-40;34;34;30;21;22;14;-26;"hard";"gmo";"ns";-12;24;-16;2;14;1;88,584;2,66666666666667;-0,180969587473653;"conc";"disc";"1"
"426";255;0,283767330426928;1;0,0415537488708225;41;42;41;-31;36;-40;34;34;30;21;22;14;-26;"hard";"hom";"s";-18;20;-29;1;21;0;95,103;2,66666666666667;-0,180969587473653;"disc";"neutr";"1"
"427";265;0,0953615333254783;1;-0,291779584462511;30;20;21;1;17;16;9;12;11;11;10;11;11;"hard";"clim";"ns";11;5;12;1;10;1;29,79;5,66666666666667;-0,403191809695875;"conc";"conc";"1"
"428";265;0,0953615333254783;1;-0,291779584462511;30;20;21;1;17;16;9;12;11;11;10;11;11;"hard";"gmo";"ns";8;6;9;3;7;0;19,247;5,66666666666667;-0,403191809695875;"conc";"conc";"1"
"429";265;0,0953615333254783;1;-0,291779584462511;30;20;21;1;17;16;9;12;11;11;10;11;11;"hard";"hom";"s";6;6;9;2;6;0;26,034;5,66666666666667;-0,403191809695875;"disc";"neutr";"1"
"430";267;0,457680373905189;0;0,0415537488708225;50;50;50;9;50;2;50;20;24;21;26;23;10;"hard";"clim";"s";-9;17;-50;3;16;1;33,988;3;-0,0698584763625419;"neutr";"conc";"1"
"431";267;0,457680373905189;0;0,0415537488708225;50;50;50;9;50;2;50;20;24;21;26;23;10;"hard";"gmo";"s";-10;-9;-50;1;34;0;86,386;3;-0,0698584763625419;"neutr";"conc";"1"
"432";267;0,457680373905189;0;0,0415537488708225;50;50;50;9;50;2;50;20;24;21;26;23;10;"hard";"hom";"ns";-9;-13;-50;2;14;1;33,228;3;-0,0698584763625419;"neutr";"neutr";"1"
